id,text,label
d_244_03,salir a la calle no sirve de nada.,0
d_1648_03,siento ser tan crudo pero es lo que observo.,0
d_684_01,600000 ilegales y no pasa nada.,1
d_848_01,"ese tío no es un delicuente, en su cultura mayormente está admitido, lo que es, es un hijo de puta",1
d_539_02,y todavía hay gente que vota a estos individuos...,0
d_718_01,esto es traición a la patria que algún día le dio cobijo.,0
d_2244_03,"fuera cruz roja, solo sirve para fomentar la invasión y destrucción de nuestro país.",1
d_756_01,esto os pasa por no haberle aplastado la cabeza de un pisoton cuando entro por barjas.,0
d_2493_01,"los enemigos los tenemos, todos, dentro de españa.",1
d_2338_02,nuestros hijos y nietos nos maldecirán por el infierno que le hemos dejado.,0
d_589_01,"tiene razón. a esta gente hay que tratarla como españoles, darles una oportunidad.",1
d_170_02,la impericia de los mossos.,0
d_1620_05,cualquier otro tipo de conducta es de tener muy poco sentido común.,0
d_1033_01,es una  vergüenza no poder salir de paseo por  tener  miedo.,1
d_839_04,600.000 personas que traerán sus familias y solicitarán becas para comedor y una vivienda digna...,1
d_1080_01,no se puede tener a los menas sin futuro.,1
d_1446_02,pero cogiendo tu testigo diré lo siguiente: de las 22 mujeres asesinadas en 2020 ¿qué porcentaje piensas que han sido asesinadas por extranjeros?,1
d_110_03,estaría bien que ahora los periodistas fueran capaces de sacar la sarta de mentiras que deben estar diciendo en las mezquitas estos días.,0
d_1696_01,"el ejido, almería, hace algunos años. la población salió a las calles ante las continuas tropelías cometidas por magrebies.",1
d_656_04,"""nosotros"" salimos elegidos y lo demás, ""ya se verá""",0
d_1487_01,"a gibraltar no van, a portugal no van, donde van ? a la chirigota de españa",1
d_234_01,yo no juzgaría antes de conocerle.,0
d_2463_04,"o solo se toman precauciones si dicen a la torre de control: somos un comando de fuerzas especiales, tipo navy seal, pidiendo permiso para aterrizar, cuando estemos ahí decidiremos que hacer, según nos reciban.",0
d_972_10,su tío carnal no decidió nada con respecto a ella solo su tía.,0
d_1955_01,el comandante del vuelo debe ser marroqui y esta en el ajo.,0
d_2039_02,el alcalde de londres - musulmán,0
d_205_01,¿4 páginas y sin la vieja?,0
d_2200_03,¿de donde salió la riqueza que hay que repartir?¿cayó con un metorito?,0
d_335_01,"estaba rico el zumo, worth",0
d_1276_02,"mismo parque
misma ciudad
mismo mes
mismo año",0
d_1971_09,europa está en declive.,0
d_2325_03,no admite personas deshonestas.,0
d_1343_01,y eso lo dices basado en la estadística publicada por la universidad de tus santos cojones.,0
d_1338_02,"en la noticia no explicita las nacionalidades ni de los camellos, ni del detenido de la plantación que será el último eslabón de una cadena, ni del clan que se dedicaba a todo el asunto.",0
d_11_02,dudas por un momento que nada les gustaria mas que matar tanto o mas que daesh?,0
d_706_01,fuera inmigrantes pero ya!!!!,1
d_1007_01,ese negativo es de un masoca españold o de un progre,0
d_504_01,hazquepase,0
d_719_01,yo propongo que los ilegales sean expulsados de inmediato.,1
d_932_02,".otro día hablamos también del coladero que ha sido siempre el aeropuerto de barajas, de donde han vendido cientos de miles de sudamericanos como supuestos turistas que luego se quedaron ilegalmente y zp legalizó masivamente luego...",1
d_1281_01,¿cambia los hechos?,0
d_2413_02,seguro que los atenderán bien.,0
d_2488_01,la solución es tan fácil y sencilla que da miedo el buenismo que tenemos,0
d_750_06,pero claro mientras la educación esté en manos de los políticos seremos más borregos y dóciles.,0
d_1006_01,"esta claro, que te guste que te roben en el metro y te den una paliza por la calle para robarte , que te guste que te ocupen el piso",0
d_270_01,el voluntario de cruz roja que lo atendió al llegar a la costa andaluza se quedó atónito.,0
d_2452_03,me parece un fallo muy grave de nuestra seguridad aeroportuaria.,0
d_1514_02,"precisamente en campos de refugiados, orfanatos africanos...donde se colabora de verdad, profesionalmente, están muy mal vistos los occidentales que se hacen fotos, las ongs que plantan su tienda y logo y no vuelven....",0
d_1581_06,no hagamos más miseria de la que ya hay.,0
d_656_02,"no está mal, ¿no?",0
d_1562_01,"no, lo que critica es la demagogia que ciertas personas hacen al usar ciertas i amágenes para atacar al vecino, sin querer ver ni mencionar quien es el que se ha aprovechado de esa persona, le ha sacado todo su dinero y lo ha tirado al march",1
d_1189_11,la mierda en el wc y la fruta en la nevera.,1
d_99_01,"habrá que ver si se confirma si era el i amán, pero si asi resulta la solucion es sencilla, no se como se decide quien está al frente de una mezquita o no, pero si es una organización o algo asi acabar con ella, echarla de todas las mezquitas o disolverla, cortar el dinero que tengan y sobre todo, los vinculos y financiacion que tengan desde ya sabemos donde, y no estoy señalando a arabia saudí, qatar.... que va",1
d_2204_07,ejemplo: los misioneros. inmunizaos ya contra estos patéticos montajes.,0
d_646_03,españa se merece pasarlo muy mal.,0
d_2142_01,"otro ejemplo de hipocresía es el del señor angel expósito, periodista de la cope, , que cada vez que hace una crónica desde un lugar de conflicto, muestra un alarde de chulería, soberbia y afán de protagonismo inaguantable.",0
d_1827_01,"y para colmo, ponen en peligro a todo un aeropuerto,.....",0
d_1913_02,vividor. y además ególatra tontorrón,0
d_2010_01,"a ver, que fracaso fracaso es crear una cuenta clonando el nombre de un rival político y venir a soltar estas chorradas de odio en meneame que nadie con 2 dedos de frente se traga.",0
d_2039_05,el alcalde de blackburn - musulmán.,0
d_1174_01,"vaya estos menas, a los que la izquierda defiende y nos los quieren meter en casa, en la nuestra no en la de ellos, por supuesto, no son tan buenos como proclaman,  la ley del menor es una ley que solo se preocupa de los criminales y las víctimas no les importan nada, esto es de sobra conocido por estos delincuentes que saben que hagan lo que hagan no les va a pasar nada, entran y salen de los centros de menores, como pedro por su casa, nos gastamos un dineral con ellos, con lo sencillo que sería mandarles a su país, marruecos.",1
d_582_01,"y mejor, darles una paga de 1500 €, casa, coche y que no trabajen, vaya verguenza de pais, que pena, la verdad esta no es mi espña",1
d_530_01,"y podemos tiene algún plan para atraer a los mejores ingenieros, programadores o ejecutivos de argentina, méxico, brasil, etc o solo interesa legalizar barrenderos, limpiadoras y manteros para comprar votos?",1
d_758_01,"que bravo echenique, 600 000 posibles asistentes para él solo, sin contrato, ni s.social, ni días libres.",0
d_136_01,"encajan muy fácil. los salafistas, wahbitas, radicales... tienen otros enemigos, a parte de occidente.",1
d_1250_01,"según la noticia habia cinco, de los cuales han detenido a cuatro.",0
d_980_01,«lo primero que quiero dejar claro es que no se trata de racismo ni queremos que estos chicos se vayan a su país»,1
d_704_05,se les mete en un campo de concentracion?,1
d_1251_01,"te ha faltado lo de: ""la culpa es de los padres que las visten como putas"".",0
d_170_14,"la otra, la acción frustrada, qui lo sa!?",0
d_1064_01,"por causas como esta, yo voto a vox",0
d_1176_04,"es decir, de alguna manera, minimiza la conducta de sus agresores y pide soluciones que, repito, no pasan porque estos chicos sean expulsados a marruecos.",1
d_2076_01,es que lo más gracioso es que hasta el momento españa tiene su seguridad social pagada con impuestos.,0
d_2545_04,sales a la calle y la mitad no son de aquí.,1
d_148_01,por algo se empieza...,0
d_506_01,"pues se siente uno más seguro andando por málaga sabiendo estas cositas, di que sí.",1
d_1842_04,"así, salen bailando desenfrenadamente.",0
d_1121_01,así estamos con estas acciones y estos pensamientos.,0
d_972_05,nunca pidió la nacionalidad y dice que de mayor volverá a marruecos pero está aquí porque allí las mujeres lo tienen muy difícil para trabajarme buen hace poco le contó su historia.,0
d_257_01,los mejores y los más valientes.,0
d_288_01,y los otros haciéndose los traumados cuando no dudarían en hacer eso mismo,1
d_981_02,"yo sí que quiero que se les devuelva a su pais, donde deben estar",1
d_1364_01,"ah vale, me habia confundido.",0
d_560_01,serían 600.000 votos más para ellos.,0
d_1426_01,"es que no comprendemos que las chicas que van sin velo, con minifalda o enseñando ""más de la cuenta"", están pidiendo a voces ser violadas.",1
d_1965_02,"viven en donde buenamente pueden, y esperan que el sufrimiento actual se traduzca a largo plazo en situaciones más cómodas.",1
d_597_02,el dinero de las pagas a financiar la tan necesitada conciliación familiar y a promover y facilitar un verdadero relevo generacional autóctono.,1
d_1945_01,"hay q decirlo todo, de nacionalidad marroqui, q se han escapado todos del avion",0
d_1125_01,"lo que es ridículo es dar protección a delincuentes ,se tenía que expulsar a esta gente que su forma de vida en su país era robar y aquí se les trata mejor",1
d_732_01,"lo único que les interesa de esos 600000 son sus votos, porque esos votan todos en cuanto les prometan unos eurillos de los presupuestos -esas cuentas que se hacen con los tres diezmos que pagamos obligatoriamente los que tenemos que trabajar sin posibilidad de ocultar nada-",1
d_938_01,es de un país multicolor,0
d_1425_01,"venía a decir lo mismo, suficiente mierda hay ya, como para tener que importarla.",1
d_56_02,pero la mierda de la religión está demasiado incrustada en la sociedad para poder pensar en algo así que no fuera establecer una especie de estado ayn randiano en una isla que luego fuera creciendo.,0
d_836_02,se nota que los podemitas no saben lo que es trabajar ni contribuir al esfuerzo común.,0
d_2424_01,"si un solo simulante con un grupito, sin armas, puede provocar el caos en el 3r aeropuerto del país, ¿qué no podrían hacer un 1% de los invasores del sur quintacolumnistas ya dentro, a las órdenes de su sátrapa comendador de los creyentes que llame a la yihad para recuperar al andalus = españa?",1
d_738_02,mantienen el gallinero alborotado y de paso se olvidan de pablenin durante un rato.,0
d_1062_02,"unicamente recurres a tópicos y lugares comunes en los que evidentemente no hay discusión pues todo el mundo esta de acuerdo, a partir de ahí te autoconcedes la licencia de ser superior moralmente a los demás y comienzas tu prédica inmoral y tu pontificado aberrante.",0
d_190_01,"pero si es un i amán no hay nada que decir, no sea que nos llamen intolerantes.",0
d_317_01,trafico de humanos del siglo xxi,1
d_2393_03,pero si quieres...ya sabes que la posidonia necesita ser abonada y los peces...a más tiernos mejor.,0
d_1551_01,buenas noches,0
d_498_01,"vienen los mejores, los más preparados.",0
d_807_01,"esto es inaudito, está españa en quiebra y estos de podemos solo miran de ganar votos para su partido, porque si los legalizan podrán reclamar que entren legalmente sus padres, sus hijos, sus hermanos, etc, .",1
d_1102_01,estos son los sicarios que les gustan a sánchez e iglesias,0
d_2482_01,"si los devuelves sin castigo, otros lo volverán a hacer.",1
d_656_01,"pabloiglesias & sanchezcastejon repasemos: si legalizamos a 600.000 sin papeles, se puede estimar en, al menos. 400.000 votos.",0
d_1243_03,"encima muchos malnacidos ( los verdaderos culpables de esto) empezarán a decir que no hay culpar a los inmigrantes o algo asi, mira yo los culpo por sus actos, y si en algun pais hay un españold criminal y violador ntiendo que lo expulusen de alli, aunque mejor que lo maten a que vaya a españa.",1
d_2028_04,"hace poco la ue ha emitido una especie de disculpa…. tarde y escasas, demasiado tarde, ¿dónde estaban (no las disculpas precisamente) cuando tanto se les ha necesitado?.",0
d_2327_02,"ten en cuenta q este siglo en el mundo, solo quedan dictaduras comunistas o islamistas..",0
d_163_02,pues no hace falta ser premio nobel para entender que todo el entramado de la yihad ha sido creado y financiado por los jeques saudíes a los que muchos en occidente adulan y otros como nuestro campechano rey themérito se han enriquecido m?s que sobradamente.,0
d_1349_05,"además, probablemente a la chavala la hubieran violado si no hubiese alguien allí para defenderla.",0
d_1347_01,"no la violaron, sólo abusaron de ella sexualmente.",0
d_1607_01,ese dios al que son tan devotos algunos que solo vomitan odio contra los inmigrantes.,0
d_371_02,"y por supuesto, este tipo pasará dos añitos en la carcel y luego en nuestras calles, con nacionalidad, paguita y plan de reinserción.",1
d_476_01,"solo vienen los mejores, los más valientes",0
d_2049_03,"además, sólo uno de cada tres musulmanes británicos (34 por ciento) llamaría a la policía si creyera que alguien de su entorno ha tenido alguna relación con los yihadistas.",1
d_589_03,son personas con sentimientos y ganas de luchar por su futuro la mayoría.,0
d_188_04,esta claro que no es tan facil.,0
d_745_04,saldremos de dudas en unos años.,0
d_112_02,los que estarían encantados son los terroristas porque se sumarían miles a la causa.,0
d_1315_01,de alguien capaz de tragarse el feminismo me creo esto y más.,0
d_684_02,luego voy yo y si me retraso en pagar algo me crujen.,0
d_1054_01,"este gobierno no cuenta lo que nos cuesta a los españoles del dinero que pagamos en impuestos, mantener a esta pandilla de menas que la mayoría de ellos vienen sabiendo que les vamos a mantener a cuerpo de rey y con una paguita por no hacer nada bueno solo el mal.",1
d_162_08,engañarse y engañar a la sociedad civil.,0
d_2268_01,"que cosas, los voxeros que decían que venían en pateras pagando 6.000e a las mafias y jugándose la vida y ahora resulta que vienen en pasillo o ventanilla por 60e desde marruecos.",1
d_211_01,este breve relato de historias varias en torno a lo que sucede en las pateras te lo has debido saltar:,0
d_117_02,"todo el mundo puede tener sus ideas y expresarlas con libertad, sí.",0
d_198_01,"hombre preparado viene para currar en un matadero, o dejarle de cocinero jefe en la sede del psoe",0
d_1617_01,"ya no es solo porque la voluntaria se deja abrazar en pandemia por un asaltante, es que la c.roja ha perdido el oremus.",1
d_1454_04,"y para continuar esta en un parque rodeado de viviendas, no en un poligono.",0
d_750_01,táctica pzoe andalucía.,0
d_455_02,me encanta ver cómo viene a europa a cobrar paguitas gente que en sus países deberían de estar pudriéndose en una cárcel de mierda.,1
d_1024_02,poco nos pasa...,0
d_2376_01,"sí, la verdad es que fue humillante que los de más madrid se hicieran pipí encima de los franquistas de vox.",0
d_1189_15,cierre de fronteras ya.,1
d_380_04,mencion especial a la mujer que tiro por la borda a su bebe.,0
d_540_01,"y darles una paga, no se os olvide la paga... traidores.",1
d_410_02,maestro de escuela ya.,0
d_677_04,pero cómo se puede permitir a esta gentuza tales insultos y humillaciones.,0
d_309_02,sabes cuantas cabezas cortan desde los 10 a los 15 años?,1
d_1522_01,"a ver que me aclare, ¿le da un abrazo a una persona que no conoce, que no sabe si está vacunado, ni si tiene alguna enfermedad?",1
d_1223_01,"yo veo gente de otros países paseando a las 12 de la mañana o desayunando en los bares, etc. y tienen 3 o 4 hijos.",1
d_1550_01,"vete abrazarte con los menas de ceuta o con los de tu barrio, pero sin mascarilla, y luego me lo cuentas, asi se te pasan las ganas de vomitar seguro.",1
d_74_04,pero nos acercan a ella.,0
d_157_08,no es ninguna teoría conspiranoica es lo que hay.,0
d_1233_01,eso o lo dices desde el desconocimiento absoluto del sitio o desde motivaciones más espureas que me callo.,0
d_1609_01,"pueden darme de baja de este saco de mlerda conocido como abc, por favor? gracias",0
d_21_01,"cierto que ahora el radicalismo islamico esta en auge, pero no por ello hay que tolerar los otros movimientos de odio.",0
d_669_01,compra de votos a costa de empobrecer el país.,0
d_122_02,si cualquier otra religión se dedicase a predicar las barbaridades que dicen esta gente las prohibiría también.,1
d_1535_01,"a esta niña le ha superado el momento, digamos que se ha dejado llevar.",0
d_1647_02,"no, la chica no abraza al inmigrante, la chica se ve de forma inesperada que él la abraza , se agazapa a ella ..y la chica quizás sin reacción se deja y se la ve mirando atrás buscando ayuda.",0
d_1994_04,o saben estar o a su casa.,1
d_556_04,gobierno dimisión ya,0
d_80_04,a las ideas os recuerdo que no se las puede meter en la cárcel.,0
d_10_01,"claro que sonamos igual, eso es lo que dicen para convencer a toda esa piara de imbéciles, otra cosa es que lo hagan, que durante siglos han demostrado que no, se llama política.",0
d_783_01,¿algún alma caritativa que le pinche las ruedas a este ser para que no pueda entrar en el hemiciclo? por favor.,0
d_542_02,compras medio cuarto de fiambre de pavo y te regalan la nacionalidad.,1
d_556_02,es mejor darles una paga y así tienen el voto asegurado.,1
d_2223_04,¿es de esa gente pardilla y cortita que se cree eso de que el mal del mundo es por falta de amor (entendiendo por amor achuchones)?,0
d_1182_01,viuda española: 426 euros/mes de pensión.,0
d_2304_02,elecciones ya!,0
d_936_01,macho... que cuando tu has respondido #18 ya habia adjuntado en su comentario la noticia con la nueva sentencia de los de la arandina.,0
d_592_02,"si no les pueden expulsar, nada de ayudas y nada de regularizar su situación.",1
