id,label_pred1,label_pred2,label_pred3,gold_label_pred
s_1087,0,1,0,0
s_3647,0,0,0,0
s_1105,0,0,0,0
s_1766,0,0,0,0
s_1995,0,0,0,0
s_2675,0,0,0,0
s_3829,0,0,0,0
s_3107,0,0,0,0
s_2328,0,0,0,0
s_1814,0,0,0,0
s_2959,0,0,0,0
s_1687,0,0,0,0
s_3355,0,0,0,0
s_2735,0,0,0,0
s_38,0,0,0,0
s_101,0,0,0,0
s_852,1,1,1,1
s_533,1,1,1,1
s_3590,0,0,0,0
s_1770,0,0,0,0
s_278,0,1,0,0
s_502,1,1,1,1
s_4181,0,0,0,0
s_934,0,0,0,0
s_1361,1,1,1,1
s_3617,0,0,0,0
s_1293,0,0,1,0
s_3640,0,1,1,1
s_2915,0,0,0,0
s_2012,0,0,0,0
s_2432,0,0,0,0
s_4112,1,1,1,1
s_3065,0,0,0,0
s_4124,1,1,1,1
s_4082,1,1,1,1
s_2923,0,0,0,0
s_2167,0,0,0,0
s_4155,0,0,0,0
s_412,0,0,0,0
s_391,1,1,1,1
s_537,1,1,1,1
s_2339,0,0,0,0
s_139,0,0,0,0
s_2647,0,0,0,0
s_3373,0,1,1,1
s_661,0,0,0,0
s_3963,0,0,0,0
s_1298,1,1,1,1
s_3426,0,0,0,0
s_2798,0,0,0,0
s_2770,0,0,0,0
s_4216,0,1,0,0
s_3495,0,0,1,0
s_2930,0,0,0,0
s_649,1,1,1,1
s_2234,1,1,1,1
s_3834,0,1,0,0
s_2935,0,0,0,0
s_3197,0,0,0,0
s_3,0,0,0,0
s_3144,0,0,0,0
s_1215,0,1,1,1
s_4140,0,0,0,0
s_285,1,1,1,1
s_1040,0,0,0,0
s_2833,0,0,0,0
s_1438,0,0,0,0
s_2493,0,0,0,0
s_1974,0,0,0,0
s_99,0,0,0,0
s_4107,1,1,0,1
s_687,1,1,1,1
s_2365,0,0,0,0
s_735,0,0,0,0
s_2023,0,0,0,0
s_203,0,1,0,0
s_2047,0,0,0,0
s_2053,0,0,0,0
s_2324,0,0,0,0
s_1659,1,1,1,1
s_1390,1,1,1,1
s_2086,0,0,0,0
s_3954,1,1,1,1
s_2272,0,0,0,0
s_102,0,0,0,0
s_3255,1,1,1,1
s_2360,0,0,0,0
s_883,1,1,1,1
s_185,0,0,0,0
s_3017,0,0,0,0
s_2081,0,0,0,0
s_3799,0,1,1,1
s_1499,1,1,1,1
s_3724,1,1,1,1
s_1589,1,1,1,1
s_2787,0,0,0,0
s_961,1,1,1,1
s_1271,1,0,0,0
s_1701,1,1,1,1
s_2461,0,0,0,0
s_1781,0,0,0,0
s_1665,0,0,0,0
s_2452,0,0,0,0
s_1653,0,0,0,0
s_3910,0,1,1,1
s_2166,0,0,0,0
s_3577,1,1,1,1
s_3375,1,1,1,1
s_1987,0,0,0,0
s_4150,1,1,1,1
s_1251,1,1,1,1
s_3451,0,0,0,0
s_429,0,0,0,0
s_1601,1,1,1,1
s_3801,0,0,0,0
s_3830,0,0,0,0
s_833,0,1,1,1
s_2109,0,0,0,0
s_2174,0,0,0,0
s_1757,0,0,0,0
s_1899,0,0,0,0
s_2269,0,0,0,0
s_469,0,0,0,0
s_1797,0,0,0,0
s_2846,0,0,0,0
s_1723,0,0,0,0
s_4039,1,1,1,1
s_1312,0,0,0,0
s_4228,1,0,0,0
s_2873,0,0,0,0
s_1214,0,1,0,0
s_944,0,0,0,0
s_76,0,1,0,0
s_2397,0,0,0,0
s_1857,0,0,0,0
s_1794,0,0,0,0
s_186,0,0,0,0
s_1357,1,1,1,1
s_390,1,1,1,1
s_1086,0,1,0,0
s_3874,0,0,0,0
s_3997,0,0,0,0
s_2230,0,0,0,0
s_375,1,1,1,1
s_3776,1,1,1,1
s_2429,0,0,0,0
s_2642,0,0,0,0
s_1022,0,0,0,0
s_4246,0,0,0,0
s_1049,1,1,1,1
s_3990,0,0,0,0
s_530,1,1,1,1
s_4070,1,1,1,1
s_4269,1,1,1,1
s_2519,0,0,0,0
s_4258,1,1,1,1
s_2979,0,0,0,0
s_706,1,1,1,1
s_1807,0,0,0,0
s_3741,1,1,0,1
s_3550,0,0,0,0
s_1487,0,1,1,1
s_1767,0,0,0,0
s_58,0,0,0,0
s_85,0,0,0,0
s_3905,1,1,1,1
s_21,1,1,1,1
s_77,0,0,0,0
s_3824,0,0,0,0
s_2849,0,0,0,0
s_1902,0,0,0,0
s_2532,0,0,0,0
s_3610,0,1,1,1
s_173,0,0,0,0
s_1138,0,1,0,0
s_1981,0,0,0,0
s_927,0,0,0,0
s_2478,0,0,0,0
s_863,0,0,0,0
s_3359,0,1,0,0
s_563,1,1,1,1
s_2928,0,0,0,0
s_3511,0,0,0,0
s_3093,0,0,0,0
s_247,1,1,1,1
s_2633,0,0,0,0
s_2880,0,0,0,0
s_859,1,1,1,1
s_406,0,1,1,1
s_443,0,0,1,0
s_3924,0,0,0,0
s_865,1,1,1,1
s_3685,0,1,0,0
s_27,0,1,0,0
s_3519,0,0,0,0
s_499,1,1,1,1
s_3575,0,0,0,0
s_573,1,1,1,1
s_327,1,1,1,1
s_1119,0,0,0,0
s_2221,0,0,0,0
s_2882,0,0,0,0
s_1747,1,1,1,1
s_1604,0,0,0,0
s_1368,1,1,1,1
s_1705,1,1,1,1
s_1809,0,1,0,0
s_2997,0,0,0,0
s_2907,0,0,0,0
s_724,0,0,0,0
s_1647,0,1,0,0
s_2622,0,0,0,0
s_3488,0,0,0,0
s_2515,0,0,0,0
s_4,1,1,1,1
s_1425,0,0,0,0
s_1033,0,0,0,0
s_3037,0,0,0,0
s_4019,1,1,1,1
s_2067,0,0,0,0
s_1182,1,1,1,1
s_3046,0,0,0,0
s_2676,0,0,0,0
s_3592,0,0,0,0
s_1160,0,1,0,0
s_4143,0,0,0,0
