id,label_pred1,label_pred2,label_pred3,gold_label_pred
s_852,0,1,0,0
s_533,0,0,0,0
s_278,1,1,0,1
s_502,0,0,0,0
s_1361,1,1,1,1
s_4112,0,1,0,0
s_4124,1,1,0,1
s_4082,0,1,0,0
s_391,0,1,0,0
s_537,0,0,0,0
s_3963,0,1,0,0
s_1298,0,1,0,0
s_649,0,0,0,0
s_285,0,0,0,0
s_99,0,1,0,0
s_4107,1,1,0,1
s_687,0,0,0,0
s_1659,1,1,0,1
s_1390,1,1,1,1
s_3954,0,0,0,0
s_3255,0,1,0,0
s_883,0,0,0,0
s_3799,0,1,0,0
s_1499,1,1,1,1
s_3724,0,1,0,0
s_1589,1,1,0,1
s_961,0,1,0,0
s_1701,0,0,0,0
s_1665,1,1,0,1
s_4150,0,0,0,0
s_1251,1,1,0,1
s_1601,0,1,0,0
s_833,0,1,0,0
s_4039,0,1,0,0
s_4228,0,1,0,0
s_1214,0,1,0,0
s_944,1,1,1,1
s_1357,1,1,0,1
s_390,0,0,0,0
s_375,0,0,0,0
s_3776,0,1,0,0
s_1022,1,1,1,1
s_1049,0,1,0,0
s_530,0,0,0,0
s_4070,1,1,0,1
s_4269,0,0,0,0
s_4258,0,0,0,0
s_706,0,0,0,0
s_1487,1,1,0,1
s_3905,0,0,0,0
s_21,0,1,0,0
s_3610,0,1,0,0
s_1138,1,1,0,1
s_563,0,1,0,0
s_247,0,0,0,0
s_859,0,0,0,0
s_865,0,0,0,0
s_499,0,0,0,0
s_573,0,0,0,0
s_327,0,0,0,0
s_1747,0,0,0,0
s_1604,0,1,0,0
s_1368,1,1,1,1
s_1705,0,0,0,0
s_1182,1,1,1,1
s_1160,1,1,1,1
s_1384,1,1,0,1
s_1711,0,0,0,0
s_3713,0,1,0,0
s_1545,1,1,1,1
s_3952,0,0,0,0
s_637,0,1,0,0
s_383,0,0,0,0
s_592,0,0,0,0
s_1366,0,1,0,0
s_813,0,0,0,0
s_3837,0,1,0,0
s_4029,1,1,0,1
s_354,0,0,0,0
s_3869,0,1,0,0
s_519,0,0,0,0
s_4079,1,1,0,1
s_1320,1,0,0,0
s_269,0,0,0,0
s_4247,0,1,0,0
s_1349,1,1,1,1
s_1646,1,1,0,1
s_642,1,0,0,0
s_819,0,0,0,0
s_1547,0,1,0,0
s_811,0,0,0,0
s_107,0,0,0,0
s_3390,0,0,0,0
s_536,0,0,0,0
s_251,0,0,0,0
s_361,0,0,0,0
s_1143,0,1,0,0
s_2345,0,0,0,0
s_3811,0,1,0,0
s_4177,0,0,0,0
s_739,0,0,0,0
s_590,0,0,0,0
s_1727,0,1,0,0
s_945,1,1,1,1
s_3791,0,1,0,0
s_802,0,0,0,0
s_1415,0,1,0,0
s_1113,0,1,0,0
s_1059,0,1,0,0
s_1344,1,1,1,1
s_132,0,0,0,0
s_3943,1,1,0,1
s_990,1,1,0,1
s_1449,0,0,0,0
s_267,0,0,0,0
s_435,0,0,0,0
s_356,0,0,0,0
s_1684,1,1,0,1
s_782,0,0,0,0
s_1735,0,0,0,0
s_254,0,0,0,0
s_382,0,0,0,0
s_4123,0,0,0,0
s_3711,0,1,0,0
s_187,0,0,0,0
