id,text,label
s_2159,"hombre si estamos mejor que la anterior es para estar contentos....
que se puede mejorar?
si
que otros lo harían mejor?
tal vez ...
pero para estos son los que hemos decidido que estén y eldato es bueno
sin más!!!",0
s_3670,aquí puedes consultar el documento: url,0
s_83,"un partido de gente que está en el día a día. que paga sus impuestos y se ve relegada en colegios, hospitales, ayudas, etc...",0
s_2392,"¿quién a dicho esto? por mi el pp, psoe y podemos son la misma mierda, sólo se diferencian en que el psoe es el capo de la banda. url",0
s_4073,"falso. se ha demostrado que el chico los atacó sin razón (sin más razón que su flagrante racismo) y los chicos lo redujeron. en el video (el primero) se ve cómo solo lo están inmovilizando.
¿siempre tenéis que mentir para contestar cualquier cosa?",1
s_1328,que le den por el culo,0
s_3154,"la corrupción en el pp fue antes de su concepción, en el parto y después de él. quienes voten pp votarán corrupción. quienes vayan con ellos en coalición, serán unos amantes de la corrupción. ¡¡¡menudo problema les va a crear a la vieja guardia del psoe!!!",0
s_2757,"pero entonces q hacemos con la reforma laboral la derogamos o no?  la coherencia podemita es así...
los q viven en chalet son casta al día siguiente me compro uno.
la reforma laboral hay q derogarla, al día siguiente con la misma reforma laboral en vigor, hemos bajado el paro ",0
s_2069,"ironic mode: on
(que hay que explicarlo todo...)",0
s_1471,vete a tu país imbécil.,1
s_3885,"derechos laborales y de extranjería de las mujeres víctimas de violencia de género
url vía ",0
s_3995,"19.9 cataluña gestion covid
""son ejemplares en su fanatismo. ni covid, ni nada.
y 9meses un golpe de estado""
--
1. el madrid gana la liga.
2. el huesca asciende a primera.
3. los presos golpistas salen a la calle.
adivinad quiénes son los seres superiores. url",0
s_821,"a ver si lo he entendido bien. según tu, puesto que no aportan nada se les tiene que denegar salud. tu y los derechos humanos como que no eh? soy inmigrante legal. y aún así tuvimos muchos problemas, tanto burocráticos como de sociedad. y esto señor mío, es racismo y xenofobia.",1
s_1218,¡madre mía cómo se traga la gente los bulos! ¡y qué ganas de odiar hay!,0
s_1682,"¿qué sabemos del foco de coronavirus de la calle nicolás salmerón en santander en una vivienda de 13 inmigrantes?
 proviene ""de cuatro domicilios distintos, sin vínculo entre ellos""
 la consejería de sanidad niega que sean todos inmigrantes
url",0
s_2560,"1. que impuestos rebajará?
2. ???
3. como los va a mejorar?
4. osea, incentivará a los ricos q son los q van a la privada. pobres necesitan ese incrntivo claro.
5. los chiringuitos de los que santiago a vivido? .
6. te lo has comido pasas al 7 directamente",0
s_1764,"y los mayores de 45? te los has mirado bien? esos no entraran tarde, expulsados sin remedio.",0
s_3865,"  españa otorga la residencia y autorización de trabajo en el país a las mujeres extranjeras que han sido víctimas de la violencia de género.

énterate de todas las condiciones en este enlace
url url",0
s_3800,¿me puede facilitar la fuente de ese dato?,0
s_869,"en la sanidad pública pagas por los extranjeros que vienen a operarse por la cara, y no hablo sólo de inmigrantes ilegales, es que le estás pagando tratamientos a gente que viene aquí a operarse gratis o por medicamentos que en sus países son carísimos. aquí se lo pagas tú.",1
s_3718,el examen confirmó que no era una menor.,0
s_974,este tío es imbécil,0
