id,label_pred1,label_pred2,label_pred3,gold_label_pred
d_2001_01,0,0,0,0
d_849_01,0,0,0,0
d_2129_01,0,1,1,1
d_836_03,0,0,1,0
d_2216_01,0,0,1,0
d_1562_02,0,0,1,0
d_2217_02,0,0,0,0
d_80_02,0,0,0,0
d_2038_04,0,1,1,1
d_2381_01,0,0,0,0
d_44_02,0,0,0,0
d_2436_01,0,0,0,0
d_2343_02,0,0,0,0
d_655_03,1,1,1,1
d_1355_03,0,0,0,0
d_768_04,0,0,0,0
d_1360_05,0,0,0,0
d_677_01,1,1,1,1
d_556_03,0,0,0,0
d_2208_04,0,0,0,0
d_790_01,0,0,0,0
d_76_07,0,0,0,0
d_1696_04,0,0,1,0
d_952_01,0,0,0,0
d_2332_03,0,0,0,0
d_2156_01,0,0,0,0
d_111_02,0,0,0,0
d_1150_01,0,0,0,0
d_1967_02,0,0,0,0
d_1450_01,0,0,0,0
d_2489_02,0,0,0,0
d_2344_01,0,0,0,0
d_2404_01,1,1,1,1
d_1203_01,0,0,0,0
d_1389_02,0,0,0,0
d_2075_04,0,0,0,0
d_1695_01,1,1,1,1
d_2334_02,1,1,1,1
d_805_05,0,0,0,0
d_2103_03,0,0,0,0
d_893_01,1,1,1,1
d_839_02,0,1,1,1
d_762_03,0,0,0,0
d_2392_02,0,0,0,0
d_2389_01,0,0,0,0
d_678_01,0,0,0,0
d_2288_01,0,1,1,1
d_1118_03,1,1,1,1
d_2414_05,0,0,0,0
d_2482_03,1,1,1,1
d_614_05,0,0,0,0
d_1056_03,1,1,1,1
d_994_01,0,0,0,0
d_869_03,0,0,0,0
d_2285_01,0,0,0,0
d_627_04,0,0,0,0
d_1647_01,0,0,0,0
d_2291_02,1,0,1,1
d_2001_05,1,1,1,1
d_1173_02,1,1,1,1
d_1750_01,0,0,0,0
d_1780_01,0,0,0,0
d_2048_02,0,1,0,0
d_1846_01,0,0,0,0
d_2045_03,1,1,1,1
d_1318_02,0,0,0,0
d_1898_02,0,0,0,0
d_800_03,1,0,1,1
d_618_03,0,0,0,0
d_1353_03,0,0,0,0
d_1664_02,0,0,1,0
d_293_02,0,0,0,0
d_1056_02,1,1,1,1
d_1638_06,0,0,0,0
d_184_02,0,0,0,0
d_1832_01,0,0,0,0
d_1880_01,0,0,0,0
d_589_06,1,1,1,1
d_590_01,0,0,0,0
d_667_01,1,1,1,1
d_1336_01,0,0,0,0
d_809_05,1,1,0,1
d_594_02,0,0,0,0
d_2508_02,1,0,1,1
d_857_03,0,0,0,0
d_299_01,0,0,1,0
d_2009_06,0,0,0,0
d_839_01,0,0,0,0
d_1958_02,0,0,0,0
d_1603_02,0,0,0,0
d_1721_04,0,0,1,0
d_313_01,1,1,1,1
d_1464_03,0,0,0,0
d_47_06,0,0,0,0
d_1725_01,0,0,0,0
d_226_02,1,1,1,1
d_565_02,0,0,0,0
d_267_01,1,1,1,1
d_2103_05,0,0,0,0
d_1992_01,0,0,0,0
d_2092_02,0,0,0,0
d_1721_01,0,0,0,0
d_982_02,0,0,0,0
d_940_01,0,0,0,0
d_1119_01,0,0,0,0
d_1467_04,0,0,0,0
d_1301_01,0,0,0,0
d_626_01,1,0,1,1
d_128_01,0,0,0,0
d_1704_01,0,0,0,0
d_1396_05,0,1,1,1
d_172_01,0,0,0,0
d_1297_01,0,0,0,0
d_853_08,0,0,0,0
d_148_03,0,0,0,0
d_1558_02,1,1,1,1
d_2055_02,0,0,1,0
d_1798_06,0,0,0,0
d_1699_03,0,0,0,0
d_554_03,0,0,0,0
d_1850_02,0,0,0,0
d_175_07,0,0,0,0
d_2039_01,0,0,1,0
d_2035_02,1,1,1,1
d_1099_03,0,0,0,0
d_2097_02,0,0,0,0
d_1532_01,0,0,0,0
d_689_01,1,0,0,0
d_2025_02,0,0,0,0
d_1502_02,0,0,0,0
d_613_02,0,0,0,0
d_807_03,0,0,0,0
d_1557_03,0,0,0,0
d_2481_04,0,0,0,0
d_1862_01,0,0,1,0
d_1112_01,0,0,0,0
d_1122_04,1,0,1,1
d_1835_01,0,0,0,0
d_1349_02,0,0,0,0
d_1602_01,0,0,0,0
d_1595_02,0,0,0,0
d_1104_02,0,0,0,0
d_242_01,0,0,1,0
d_12_02,0,0,0,0
d_2454_02,1,1,1,1
d_105_02,0,0,0,0
d_916_03,0,0,0,0
d_1212_04,1,0,1,1
d_1240_01,0,0,0,0
d_1844_01,0,0,1,0
d_1383_01,0,0,0,0
d_1581_04,1,1,1,1
d_1849_03,0,0,0,0
d_170_11,0,0,0,0
d_2281_02,0,0,0,0
d_1816_04,0,0,0,0
d_1045_01,1,1,1,1
d_2044_02,1,1,1,1
d_2074_02,0,0,0,0
d_1435_02,0,0,0,0
d_722_02,0,0,0,0
d_105_04,0,0,0,0
d_1020_01,0,0,0,0
d_2432_01,0,0,0,0
d_1980_06,0,0,0,0
d_1584_01,0,0,0,0
d_741_01,0,0,0,0
d_2445_03,0,0,0,0
d_1656_01,1,1,1,1
d_1429_01,0,0,0,0
d_2112_02,0,0,0,0
d_1261_01,0,0,0,0
d_670_03,0,0,0,0
d_2451_01,0,0,0,0
d_483_01,0,0,0,0
d_445_03,0,0,0,0
d_2515_04,0,0,0,0
d_954_01,0,0,0,0
d_2047_01,1,1,1,1
d_865_05,0,0,0,0
d_978_01,1,1,1,1
d_57_02,0,0,0,0
d_1445_02,0,0,0,0
d_1316_04,1,1,1,1
d_1205_02,1,1,1,1
d_1436_02,0,0,0,0
d_539_03,0,0,0,0
d_1980_02,0,0,0,0
d_162_03,1,1,1,1
d_324_01,0,0,0,0
d_1711_07,0,0,0,0
d_2118_01,0,0,0,0
d_1655_01,1,1,1,1
d_2206_01,1,1,1,1
d_1212_02,1,1,1,1
d_2216_02,1,0,0,0
d_1118_01,1,1,1,1
d_2207_01,1,0,0,0
