id,text,label
s_1980,"se trata de sustituir empleos de la economía privada por empleos públicos.
la deuda no la podréis seguir incrementando indefinidamente y cuando corten el grifo, todo se desmoronará como un castillo de naipes.",0
s_1808,"ahhh, perdón... debe ser que el progreso eran los millones de parados que había con otros partidos y mi congelación de sueldo 5 años mientras gobernada el  eso sí que era progreso!""! jajaja de traca!!",0
s_3047,"como decís vosotros. es lo que le dejo el pp.
no llevaba ni un año cuando dieron estos datos.
igualmente te digo, que el psoe es la misma  que el pp. los don han arruinado a españa con su corrupción.
no te has enterado todavía q el psoe no es de izquierdas?",0
s_4170,"lo de la población de lanzarote y fuerteventura no es cierto, tampoco hay que lanzar bulos así alegremente",0
d_2273_01,"Prisión y regreso inmediato, me estamos haciendo reír de la UE",1
s_328,"una agenda que consiste básicamente en subir los impuestos para pagar todas las ayudas,sanidad y vivienda de inmigrantes ilegales. las ayudas para las familias españolas que lo necesitan ya si eso otro día. url",1
s_303,"sabes qué es lo peor? que esos seguirán recibiendo su dinero, y los que no vamos a oler un puto duro de lo que pagamos religiosamente todos los meses somos los ciudadanos",0
s_1084,lo q diga makelele nos la suda!!!!,1
s_2758,"cierto.
menudos canallas.",0
s_4047,"5.27 inmigracion
""seguro q lo hace con plenas garantias para estas personas y para los vecinos q van a acogerlos.
no creo q los tenga rulando por la calle.""
------
sánchez cede al chantaje de los inmigrantes ilegales amotinados en melilla: trasladará a 80. url",1
s_3175,"totalmente, empezando por la presidenta del congreso, hay delito y es un delito mayor",0
s_3690,"ya, ana. piensa que la mayoría de población llegada de fuera es joven. súmale que son de mayoría masculina. súmale la condición socioeconómica.

ten en cuenta los menos que habría en el lúmpen eliminando tanta familia de aquí de siempre que vive de rentas y del trabajo ajeno...",0
s_323,de mal en peor y tiro porque me toca,0
s_3052,"dudo que los trabajadores que están desamparados primeramente por sus sindicatos se presten a dar una nómina a una tuitera, no se ofenda, pero yo las he visto",0
s_1611,si no le gustan nuestras tradiciones que se vaya a su puto país,1
s_3380,"también igual conviene recordar que gran parte de la culpa de que esos países estén como estén la tienen las potencias europeas, que básicamente nos dedicamos a saquear áfrica.",0
s_1501,"no sólo nos chorizan las carteras, también nos quieren chorizar nuestras costumbres.",1
s_1688,"acaba de fallecer el joven canario agredido por un inmigrante ilegal en la plaza del hierro de maspalomas
descanse en paz.
a esto que dice el gobierno social comunista.
¿esto es lo que nos ha traído?
ni canarias ni españa nos merecemos esto.",1
s_3789,"muchos paises te piden historial de antedecentes. y aún sin pedir el historial, si al que hace un delito lo echas del país te aseguro que más de uno se lo pensaría dos veces antes de hacer algo. con esa simple medida nos ahorrariamos mucha delincuencia extranjera.",1
d_2364_01,"Y ya que eso sucede, algunos crímenes muy delicados están subiendo.",1
d_1426_01,"Es sólo que no entendemos que las chicas que van sin velo, con minifaldas o enseñando ""más que el proyecto de ley"", están clamando por ser violadas.",1
s_2996,ahora toca luchar por jubilarnos anticipadamente con 40 años o  cotizados sin penalizar. es de justicia!! url,0
s_2847,"en el programa del gobierno? en el mismo donde no pone nada del peaje de las autopistas?
yo no voto, me dan vergüenza estos políticos, valoró mi voto y a quien se lo doy.
lo que pasa es que si voto izquierdas me sale más caro y los servicios públicos no mejoran...",0
s_2441,"eres mentirosa. ahora, ya si te lo crees, eres idiota.",0
s_4125,"34.23 no es lo.mismo
""abascal, no es tan rigido""
--
suiza,para obtener el permiso de residencia,tienes que presentar un contrato de trabajo q es sopesado por el dto de inmigración,tras  comprobar q en el paro no hay ningún suizo con tu misma profesión y q viva también en la zona",0
d_258_02,"Este es uno de los problemas de la inmigración incontrolada, que no tienes ni puta idea de quién entra.",1
d_1146_03,"Lo que sufre esta gente por tener a la banda criminal MENA, no sólo en el Batán sino en mucho otros sitios, no lo denuncian los buenistas, que por otra parte, los podían meter en sus casas.",1
s_2973,"no, no, el miedo es vuestro por si el pueblo se da cuenta de que hay políticas mucho más efectivas que las del capitalismo de amiguetes que vosotros practicáis. no hay que ser tan mentirosillo, te vas a ir al infierno. ",0
