id,text,label_pred1,label_pred2,label_pred3,gold_label_pred
d_2001_01,me encanta eso de defender siempre al “inmigrante” solo por el hecho de serlo.,0,0,0,0
d_849_01,servicios del menor puede hacerse cargo de un menor en riesgo sin mediación de un juez.,0,0,0,0
d_2129_01,"de nuevo miles de madres marroquíes llorando por haber perdido a sus hijos a los que, probablemente, no verán nunca más!",0,1,1,1
d_836_03,"por supuesto, el año que viene regularizamos a otros seiscientos mil más.",0,0,1,0
d_2216_01,"y lo que haga falta y más para eso está la cartera de los españoles para sufragar todos estos gastos,maravilloso,¡¡ja,ja,ja,!!.",0,0,1,0
d_1562_02,"algunos esclavistas disfrazados de ong y los otros mirando para otro lado y acusando a su paisano de racista mientras se toma una copita en el salón de su casa viendo la escena por la tv, a 2000 km de donde se producen los hechos",0,0,1,0
d_2217_02,"si me diesen un euro por cada ejemplar de estos que he conocido, tendría una mansión en aruba.",0,0,0,0
d_80_02,y yo no he afirmado lo contrario ni he realizado una defensa del islam.,0,0,0,0
d_2038_04,"pero necesitan el mismo control que todos los demás, independientemente de la política migratoria que se les aplique.",0,1,1,1
d_2381_01,"y a tu madre la siguen llamando ""el tocino sudoroso""?",0,0,0,0
d_44_02,"tolerancia a las creencias de cada uno, porsupuesto.",0,0,0,0
d_2436_01,"habéis visto en dmax y otros las series de control fronteras usa, au?",0,0,0,0
d_2343_02,en el bar del aeropuerto de palma.,0,0,0,0
d_655_03,"muchos votantes (no todos) de extrema izquierda que pide un ingreso para todos los que no cotizan, está de acuerdo porque se beneficia de ello.",1,1,1,1
d_1355_03,"lo dicho, menuda película que te has montado.",0,0,0,0
d_768_04,que no nos quiere decir la receta el tío.,0,0,0,0
d_1360_05,repito: qué fácil es meterles a algunos la semillita del policorrectismo y la flor en el culo.,0,0,0,0
d_677_01,"con millones de parados, dispuestos a trabajar en lo que sea, estos miserables que nos gobiernan, encima, tienen la caradura, desfachatez, la falta de respeto de decir que los han traído y que han sido los que nos han salvado por trabajos que la gente no quiere, cuando hasta sindicatos hablaban de facilitar a los parados y temporeros corredores de seguridad para las campañas.",1,1,1,1
d_556_03,de vergüenza y lamentable.,0,0,0,0
d_2208_04,churras y merinas.,0,0,0,0
d_790_01,entiendo perotienen a la democracia de su lado.,0,0,0,0
d_76_07,si lucharan contra esta mierda exigirían transparencia y claridad.,0,0,0,0
d_1696_04,robos continuos.,0,0,1,0
d_952_01,"no sabia ni regatear el idiota, 50 euros?",0,0,0,0
d_2332_03,"sí, voy a votar a vox.",0,0,0,0
d_2156_01,"lo único que hay que asumir es que a gente como usted antes solo se les escuchaba de fondo en el bar, mezclada con conversaciones de borracho y escándalo de cafetera, y ahora consiguen dar vergüenza ajena a nivel global, a base de exhibir sus miserias por las redes.",0,0,0,0
d_111_02,la de tonterías que hay que leer.,0,0,0,0
d_1150_01,vox,0,0,0,0
d_1967_02,"si no eres mejor que un negro, hijo, no eres mejor que nadie.",0,0,0,0
d_1450_01,"será que ya tengo una edad, pero que hace una niña de 14 años a la una de la madrugada en la calle, y sola??",0,0,0,0
d_2489_02,vaya país esté con este descontrol sin parangón!,0,0,0,0
d_2344_01,"la españa que nos dejaron nuestros padres daba pena, con una guerra genocida de un dictador que ejecutó durante décadas a quien no le gustaba.",0,0,0,0
d_2404_01,expulsion inmediata de estos delincuentes,1,1,1,1
d_1203_01,"en españa tenemos un gobierno psoe-up, asi que simplemente estamos disfrutando lo votado.",0,0,0,0
d_1389_02,son nuestroh niñohhhh!!!,0,0,0,0
d_2075_04,como si fuese una mascota abandonada encontrada en la calle.,0,0,0,0
d_1695_01,"esta gente que con el dinero de los demás es super solidaria, que no ha cotizado en su vida que jamás se ha esforzado, podría acogerlos en su casa y darles de comer con su dinero, no con el mío, que facil es con los impuestos que pago yo que ella sea super solidaria, porque no le cuesta nada",1,1,1,1
d_2334_02,1 una fragata a italia a buscar a inmigrantes,1,1,1,1
d_805_05,"eso si ellos ""todos"" los sátrapas se enriquecen a costa de su naciones.",0,0,0,0
d_2103_03,"si me da asco ver a un españold pedir y pienso que es un borracho o yonki o hijo de familia desestructurada. pues de los demás sobran las palabras, con las pintas que tiene más de uno.",0,0,0,0
d_893_01,"puede volver de forma ilegal, y permanecer de forma ilegal.",1,1,1,1
d_839_02,600.000 sueldos mínimos a cargo del estado.,0,1,1,1
d_762_03,ya en la pasada crisis de fueron un montón.,0,0,0,0
