id,text,implicit_a2
s_4073,"Falso. Se ha demostrado que el chico los atacó sin razón (sin más razón que su flagrante racismo) y los chicos lo redujeron. En el video (el primero) se ve cómo solo lo están inmovilizando.
¿Siempre tenéis que mentir para contestar cualquier cosa?",1
s_1471,Vete a tu país imbécil.,1
s_821,"A ver si lo he entendido bien. Según tu, puesto que no aportan nada se les tiene que denegar salud. Tu y los derechos humanos como que no eh? Soy inmigrante legal. Y aún así tuvimos muchos problemas, tanto burocráticos como de sociedad. Y esto señor mío, es racismo y xenofobia.",1
s_869,"En la sanidad pública pagas por los extranjeros que vienen a operarse por la cara, y no hablo sólo de inmigrantes ilegales, es que le estás pagando tratamientos a gente que viene aquí a operarse gratis o por medicamentos que en sus países son carísimos. Aquí se lo pagas tú.",0
s_328,"Una agenda que consiste básicamente en subir los impuestos para pagar todas las ayudas,sanidad y vivienda de inmigrantes ilegales. Las ayudas para las familias españolas que lo necesitan ya si eso otro día. URL",0
s_1501,"No sólo nos chorizan las carteras, también nos quieren chorizar nuestras costumbres.",0
s_446,"Vox no prohibe eso, prohibe que salten un muro y poder usar los medios que el contribuyente español ha pagado. Si quieres acpger acoge, pero legalmente",1
s_1072,La cultura democrática Africana que nos quiere imponer en España,1
s_1713,"Menor marroquí en Canet del Mar (mena), ahí lo dejo, siento muchísimo la crueldad de las imágenes, valorar el contenido 🤔 URL",1
s_241,"Que alguien le diga al padre portadas que igual tenemos que elegir entre pagar las paguitas de los inmigrantes ILEGALES y su sanidad o pagar a la Iglesia, a ver que pronto se sacude el giliprogresismo de encima.
#AsturiasDefiendeEspaña
#DefiendeEspaña
#DefiendeTusFronteras",0
s_349,"Y tú y los tuyos que ofrecen:
Okupas
Subida de impuestos
Subida del paro
Bajada del bienestar social
Subida de la inmigración ilegal
ERES
Tarjetas black de sindicatos
Enchufados en el gobierno
,.......
Sigo o ya se te cae la cara de vergüenza",0
s_1389,"No hay nada ni nadie más racista q un negro lleno de odio.
No son los Reyes Magos con lo q hay que acabar, sino con estos indocumentados bocazas enviándolos de vuelta a su pais
Eso q pide JAMÁS LO VERÁN SUS OJOS DE DESGRACIADO.
Y si no le gusta, a su pvt0 pais y ya está tardando",0
s_3235,"Ese Pacto Mundial #PorLaMigración  que hoy firma  @user en Marrakech,es un auténtico disparate. Lo único que genera es mayor efecto llamada,incrementar el riesgo de muertes en el Mediterráneo y no poner soluciones. Es cobardía no replantearlo. URL",1
s_454,"Lo que no veo bien es que quién entre de manera ilegal tenga todo tipo de subvenciones y ayudas por delante de quién ha entrado legalmente en el pais o llevan años esperando los papeles para su legalización, eso es efecto llamada",1
s_1331,Le invito a que se vaya a su país de origen. Sería un gran regalo de Navidad,1
s_1574,Fuera salvajes de nuestros barrios,0
s_779,Cuando un partido dice que los inmigrantes ilegales deberían pagar por utilizar la sanidad pública teniendo el problema que tenemos ... Eso es de inhumanos y de ser un hijo de la gran puta. Yo por lo menos no puedo pasar por alto eso.,0
s_3556,Atentando en Francia otro 'Caso aislado' #NoBienvenidos #DefendEuropa #StopIslam #islamistasFueraDeEuropa,0
s_1286,a que esta esperando extranjería para repatriar a este refugiado ?,1
s_650,"Madre que cacao.
La sanidad no solo se financia con las cuotas de la SS, es una parte.
Otra parte viene del estado de los impuestos directos e indirectos( IVA) asi que un inmigrante ilegal, que compre comida, ya paga iva, asi que en parte contribuye a los impuestos.",0
s_708,"No

Si lee la propuesta, se habla de inmigrantes ilegales, sin más especificación

Y cualquier persona en esa situación que sepa que le va a generar una deuda no irá salvo que se encuentre en riesgo vital

Es una cuestión de Sanidad Pública",0
s_3984,"Tenemos 4 millones de parados y pronto habrá más de 5 millones, si os vais se nos queda una Seguridad Social de puta madre.",1
s_950,Deportación yaaaaa,1
s_3563,"Una pregunta¿En qué número se sitúa el límite d inmigrantes q puede entrar en un país como, por ejemplo, España q es puerta de entrada a Europa de decenas d inmigrantes ilegales (casi a diario) provenientes de África?¿1 millón, 2, 3...los q quieran venir y les dé la gana? Gracias",0
s_1342,En un País democrático no tienen cabida seres como tú. Eras ilegal y te dedicabas a la venta ilegal de falsificaciones. Has ascendido en la sociedad gracias a un partido político que hunde España y prefiere a gente como tú. VETE A TU PAÍS y mira por él.,1
s_1263,Serigne muy fácil lo tienes de vuelta en patera en la que viniste a tu país y reclamas allí lo que quieras!!aquí da gracias que te damos de comer!!respeta a los españoles mantero garrapata!!,1
s_325,"Los españoles, estarán obligados por Ley a pagar la Sanidad de los inmigrantes ilegales URL",0
s_3894,realmente abascal acaba de achacar el 70% de agresiones sexuales que ocurren en España a los inmigrantes. Si se esfuerza más para ser más xenófobo no le sale. #DebateElectoral,0
s_471,"No, malditos no, ilegales. Hay que distinguir lo que es legal de lo que no lo es.",1
s_3993,"19.8 CATALUÑA orden publico
"" Ahora Hospitalet""
--------------------
El 28/6  2 inmigrantes menores de edad mataron a un español de 50 años en L'Hospitalet durante un robo con violencia.
Hoy, 17/7 acaban de quedar ambos en libertad condicional.
(@user 17/7)",0
s_952,"Si no le gusta, pa su querida Senegal, qué se compre tres metros cuadrados de selva y que se pierda en ella, qué sabrá el de reyes si es republicano😁😁",1
s_763,"Eso sí, si es inmigrante ""ilegal"", que le den por culo al abuelo.",0
s_963,Por qué no mandan a este carajo de vuelta a su pueblo natal? Que vaya a joder allá!,1
