id,text,implicit_a2
d_684_01,600000 ilegales y no pasa nada.,0
d_848_01,"ese tío no es un delicuente, en su cultura mayormente está admitido, lo que es, es un hijo de puta",1
d_2244_03,"Fuera cruz roja, solo sirve para fomentar la invasión y destrucción de nuestro país.",0
d_2493_01,"Los enemigos los tenemos, todos, dentro de ESPAÑA.",0
d_589_01,"Tiene razón. A esta gente hay que tratarla como españoles, darles una oportunidad.",1
d_1033_01,Es una  vergüenza no poder salir de paseo por  tener  miedo.,0
d_839_04,600.000 personas que traerán sus familias y solicitarán becas para comedor y una vivienda digna...,1
d_1446_02,Pero cogiendo tu testigo diré lo siguiente: de las 22 mujeres asesinadas en 2020 ¿Qué porcentaje piensas que han sido asesinadas por extranjeros?,1
d_1696_01,"El Ejido, Almería, hace algunos años. La población salió a las calles ante las continuas tropelías cometidas por magrebies.",1
d_1487_01,"a gibraltar no van, a portugal no van, donde van ? a la chirigota de españa",0
d_706_01,Fuera inmigrantes pero ya!!!!,1
d_719_01,Yo propongo que los ilegales sean expulsados DE INMEDIATO.,1
d_932_02,".otro día hablamos también del coladero que ha sido siempre el aeropuerto de Barajas, de donde han vendido cientos de miles de sudamericanos como supuestos turistas que luego se quedaron ilegalmente y ZP legalizó masivamente luego...",1
d_1562_01,"No, lo que critica es la demagogia que ciertas personas hacen al usar ciertas imágenes para atacar al vecino, sin querer ver ni mencionar quien es el que se ha aprovechado de esa persona, le ha sacado todo su dinero y lo ha tirado al mar.",0
d_1189_11,La mierda en el wc y la fruta en la nevera.,1
d_99_01,"habrá que ver si se confirma si era el imán, pero si asi resulta la solucion es sencilla, no se como se decide quien está al frente de una mezquita o no, pero si es una organización o algo asi acabar con ella, echarla de todas las mezquitas o disolverla, cortar el dinero que tengan y sobre todo, los vinculos y financiacion que tengan desde ya sabemos donde, y no estoy señalando a Arabia Saudí, Qatar.... que va",1
d_1174_01,"Vaya estos MENAS, a los que la izquierda defiende y nos los quieren meter en casa, en la nuestra no en la de ellos, por supuesto, no son tan buenos como proclaman,  la ley del menor es una ley que solo se preocupa de los criminales y las víctimas no les importan nada, esto es de sobra conocido por estos delincuentes que saben que hagan lo que hagan no les va a pasar nada, entran y salen de los Centros de Menores, como Pedro por su casa, nos gastamos un dineral con ellos, con lo sencillo que sería mandarles a su país, Marruecos.",0
d_582_01,"y mejor, darles una paga de 1500 €, casa, coche y que no trabajen, vaya verguenza de pais, que pena, la verdad esta no es mi espña",1
d_530_01,"Y Podemos tiene algún plan para atraer a los mejores ingenieros, programadores o ejecutivos de Argentina, México, Brasil, etc o solo interesa legalizar barrenderos, limpiadoras y manteros para comprar votos?",1
d_136_01,"Encajan muy fácil. Los salafistas, wahbitas, radicales... tienen otros enemigos, a parte de occidente.",1
d_980_01,«Lo primero que quiero dejar claro es que no se trata de racismo ni queremos que estos chicos se vayan a su país»,1
d_1176_04,"Es decir, de alguna manera, minimiza la conducta de sus agresores y pide soluciones que, repito, no pasan porque estos chicos sean expulsados a Marruecos.",0
d_2545_04,Sales a la calle y la mitad no son de aquí.,0
d_506_01,"Pues se siente uno más seguro andando por Málaga sabiendo estas cositas, di que sí.",0
d_288_01,Y los otros haciéndose los traumados cuando no dudarían en hacer eso mismo,1
d_981_02,"YO SÍ QUE QUIERO QUE SE LES DEVUELVA A SU PAIS, DONDE DEBEN ESTAR",0
d_1426_01,"Es que no comprendemos que las chicas que van sin velo, con minifalda o enseñando ""más de la cuenta"", están pidiendo a voces ser violadas.",0
d_1965_02,"Viven en donde buenamente pueden, y esperan que el sufrimiento actual se traduzca a largo plazo en situaciones más cómodas.",1
d_597_02,El dinero de las pagas a financiar la tan necesitada conciliación familiar y a promover y facilitar un verdadero relevo generacional autóctono.,0
d_1125_01,"Lo que es ridículo es dar protección a delincuentes ,se tenía que expulsar a esta gente que su forma de vida en su país era robar y aquí se les trata mejor",1
d_732_01,"Lo único que les interesa de esos 600000 son sus votos, porque esos votan todos en cuanto les prometan unos eurillos de los presupuestos -esas cuentas que se hacen con los tres diezmos que pagamos obligatoriamente los que tenemos que trabajar sin posibilidad de ocultar nada-",1
d_1425_01,"Venía a decir lo mismo, suficiente mierda hay ya, como para tener que importarla.",1
d_2424_01,"Si un solo simulante con un grupito, sin armas, puede provocar el caos en el 3r aeropuerto del país, ¿qué no podrían hacer un 1% de los invasores del sur quintacolumnistas ya dentro, a las órdenes de su sátrapa comendador de los creyentes que llame a la yihad para recuperar Al Andalus = España?",1
d_317_01,Trafico de humanos del siglo XXI,0
d_807_01,"Esto es inaudito, está España en quiebra y estos de Podemos solo miran de ganar votos para su partido, porque si los legalizan podrán reclamar que entren legalmente sus padres, sus hijos, sus hermanos, etc, .",0
d_2482_01,"Si los devuelves sin castigo, otros lo volverán a hacer.",1
