id,label_pred1,label_pred2,label_pred3,gold_label_pred
d_2001_01,0,0,1,0
d_2216_01,1,1,1,1
d_677_01,0,1,0,0
d_1696_04,0,0,1,0
d_1967_02,1,0,1,1
d_2404_01,1,1,1,1
d_1389_02,1,1,1,1
d_1695_01,0,0,0,0
d_893_01,0,0,0,0
d_839_02,1,0,0,0
d_2288_01,1,1,1,1
d_1118_03,1,1,1,1
d_1056_03,0,1,1,1
d_2291_02,0,1,1,1
d_2001_05,1,0,1,1
d_1173_02,0,0,0,0
d_2048_02,0,1,0,0
d_589_06,0,1,1,1
d_667_01,1,1,1,1
d_1958_02,0,0,1,0
d_313_01,1,1,1,1
d_226_02,1,1,1,1
d_565_02,1,1,1,1
d_267_01,1,1,1,1
d_1704_01,1,1,1,1
d_1396_05,0,0,0,0
d_1558_02,0,0,0,0
d_2055_02,1,0,1,1
d_2039_01,1,0,0,0
d_2035_02,0,0,1,0
d_689_01,1,1,0,1
d_613_02,1,1,1,1
d_12_02,0,1,1,1
d_2454_02,1,1,1,1
d_1844_01,1,1,1,1
d_1581_04,1,0,0,0
d_2281_02,1,1,1,1
d_1045_01,1,1,1,1
d_1435_02,1,1,1,1
d_1656_01,0,0,0,0
d_483_01,0,0,1,0
d_2515_04,1,1,1,1
d_1316_04,0,1,1,1
d_1205_02,0,0,0,0
d_2206_01,1,0,0,0
d_1212_02,1,0,1,1
d_2216_02,1,1,1,1
d_1118_01,1,1,1,1
d_2207_01,0,0,0,0
d_840_01,0,1,1,1
d_2375_01,1,1,1,1
d_1940_01,1,1,1,1
d_1019_01,1,0,1,1
d_1053_01,1,1,1,1
d_216_01,0,0,1,0
d_945_02,1,1,1,1
d_156_01,0,0,0,0
d_1164_02,1,0,1,1
d_450_02,1,1,1,1
d_1667_01,0,1,0,0
d_1982_01,1,1,1,1
d_1905_01,1,1,0,1
d_475_01,1,0,1,1
d_1568_01,1,1,1,1
d_1885_02,0,0,0,0
d_2055_01,0,0,0,0
d_1769_01,1,0,1,1
d_2036_01,1,1,1,1
d_1984_01,1,1,1,1
d_614_02,0,0,0,0
d_2215_02,0,0,1,0
d_1463_01,1,0,0,0
d_678_02,0,0,0,0
d_881_01,0,1,0,0
d_1069_01,0,1,0,0
d_1659_01,1,1,1,1
d_1198_02,1,1,1,1
d_1189_16,1,1,1,1
d_2373_01,1,1,1,1
d_2111_05,1,1,1,1
d_654_01,0,1,0,0
d_313_02,1,1,1,1
d_1157_01,1,1,1,1
d_2060_03,0,1,0,0
d_762_04,0,1,0,0
d_466_01,1,1,1,1
d_2064_02,0,0,0,0
d_1155_01,1,1,1,1
d_2462_02,1,1,1,1
d_1342_03,0,1,1,1
d_1313_01,0,1,0,0
d_2297_01,1,1,1,1
d_1826_02,1,0,1,1
d_2132_02,0,1,1,1
d_652_02,0,0,0,0
d_2323_01,1,0,0,0
d_1766_02,1,1,1,1
d_1776_02,0,0,0,0
d_1464_04,1,1,1,1
d_1118_06,1,1,1,1
d_1021_02,1,0,1,1
d_585_01,0,0,0,0
d_2042_02,1,0,0,0
d_381_01,1,1,1,1
d_1799_02,1,1,1,1
d_2061_03,1,1,1,1
d_1145_01,0,1,0,0
d_2171_01,0,0,0,0
d_814_02,0,1,0,0
d_2418_01,1,1,1,1
d_2116_01,0,0,0,0
d_2221_04,1,1,1,1
d_23_02,1,1,1,1
d_1672_04,1,0,1,1
d_2540_01,0,1,0,0
d_1646_01,1,1,1,1
d_1888_01,1,1,1,1
d_653_07,0,1,1,1
d_407_01,1,1,1,1
d_1690_01,0,0,0,0
d_797_01,0,0,0,0
d_482_01,0,0,0,0
d_595_02,1,1,1,1
d_2066_02,1,0,1,1
d_2047_02,0,0,0,0
d_598_05,1,0,1,1
d_1170_01,1,1,1,1
d_2353_05,1,1,1,1
d_1189_08,1,0,1,1
d_1473_01,1,0,0,0
d_1120_01,1,1,1,1
d_1035_01,1,1,1,1
d_1922_01,1,0,0,0
d_455_03,0,0,1,0
d_1147_01,0,1,1,1
d_568_03,1,1,1,1
