id,label,labels,label_pred,pred_stereotype
d_2001_01,1,1,0,not stereotype
d_849_01,0,0,0,not stereotype
d_2129_01,0,0,1,stereotype
d_836_03,0,0,1,stereotype
d_2216_01,1,1,1,stereotype
d_1562_02,0,0,1,stereotype
d_2217_02,0,0,0,not stereotype
d_80_02,0,0,0,not stereotype
d_2038_04,0,0,1,stereotype
d_2381_01,0,0,0,not stereotype
d_44_02,0,0,0,not stereotype
d_2436_01,0,0,0,not stereotype
d_2343_02,0,0,0,not stereotype
d_655_03,0,0,0,not stereotype
d_1355_03,0,0,0,not stereotype
d_768_04,0,0,0,not stereotype
d_1360_05,0,0,0,not stereotype
d_677_01,1,1,1,stereotype
d_556_03,0,0,0,not stereotype
d_2208_04,0,0,0,not stereotype
d_790_01,0,0,0,not stereotype
d_76_07,1,1,0,not stereotype
d_1696_04,1,1,0,not stereotype
d_952_01,0,0,0,not stereotype
d_2332_03,0,0,0,not stereotype
d_2156_01,0,0,0,not stereotype
d_111_02,0,0,0,not stereotype
d_1150_01,0,0,0,not stereotype
d_1967_02,1,1,0,not stereotype
d_1450_01,0,0,0,not stereotype
d_2489_02,1,1,0,not stereotype
d_2344_01,0,0,0,not stereotype
d_2404_01,1,1,1,stereotype
d_1203_01,0,0,0,not stereotype
d_1389_02,1,1,0,not stereotype
d_2075_04,0,0,0,not stereotype
d_1695_01,1,1,1,stereotype
d_2334_02,0,0,1,stereotype
d_805_05,0,0,0,not stereotype
d_2103_03,0,0,0,not stereotype
d_893_01,1,1,1,stereotype
d_839_02,1,1,1,stereotype
d_762_03,0,0,0,not stereotype
d_2392_02,0,0,1,stereotype
d_2389_01,0,0,0,not stereotype
d_678_01,0,0,0,not stereotype
d_2288_01,1,1,0,not stereotype
d_1118_03,1,1,1,stereotype
d_2414_05,0,0,0,not stereotype
d_2482_03,1,1,1,stereotype
d_614_05,0,0,1,stereotype
d_1056_03,1,1,1,stereotype
d_994_01,0,0,0,not stereotype
d_869_03,0,0,0,not stereotype
d_2285_01,0,0,0,not stereotype
d_627_04,0,0,0,not stereotype
d_1647_01,0,0,0,not stereotype
d_2291_02,1,1,1,stereotype
d_2001_05,1,1,1,stereotype
d_1173_02,1,1,1,stereotype
d_1750_01,0,0,0,not stereotype
d_1780_01,0,0,0,not stereotype
d_2048_02,1,1,1,stereotype
d_1846_01,0,0,0,not stereotype
d_2045_03,0,0,1,stereotype
d_1318_02,0,0,0,not stereotype
d_1898_02,0,0,0,not stereotype
d_800_03,0,0,0,not stereotype
d_618_03,0,0,0,not stereotype
d_1353_03,0,0,0,not stereotype
d_1664_02,0,0,0,not stereotype
d_293_02,0,0,0,not stereotype
d_1056_02,0,0,1,stereotype
d_1638_06,0,0,0,not stereotype
d_184_02,0,0,0,not stereotype
d_1832_01,0,0,0,not stereotype
d_1880_01,0,0,0,not stereotype
d_589_06,1,1,1,stereotype
d_590_01,0,0,0,not stereotype
d_667_01,1,1,1,stereotype
d_1336_01,0,0,0,not stereotype
d_809_05,0,0,1,stereotype
d_594_02,0,0,0,not stereotype
d_2508_02,0,0,1,stereotype
d_857_03,0,0,0,not stereotype
d_299_01,0,0,0,not stereotype
d_2009_06,0,0,0,not stereotype
d_839_01,0,0,1,stereotype
d_1958_02,1,1,1,stereotype
d_1603_02,0,0,0,not stereotype
d_1721_04,0,0,0,not stereotype
d_313_01,1,1,1,stereotype
d_1464_03,0,0,0,not stereotype
d_47_06,0,0,0,not stereotype
d_1725_01,0,0,1,stereotype
d_226_02,1,1,1,stereotype
d_565_02,1,1,1,stereotype
d_267_01,1,1,1,stereotype
d_2103_05,0,0,0,not stereotype
d_1992_01,0,0,0,not stereotype
d_2092_02,0,0,0,not stereotype
d_1721_01,0,0,1,stereotype
d_982_02,0,0,0,not stereotype
d_940_01,0,0,0,not stereotype
d_1119_01,0,0,0,not stereotype
d_1467_04,0,0,0,not stereotype
d_1301_01,0,0,0,not stereotype
d_626_01,0,0,1,stereotype
d_128_01,0,0,0,not stereotype
d_1704_01,1,1,0,not stereotype
d_1396_05,1,1,1,stereotype
d_172_01,0,0,0,not stereotype
d_1297_01,0,0,0,not stereotype
d_853_08,0,0,0,not stereotype
d_148_03,0,0,0,not stereotype
d_1558_02,1,1,1,stereotype
d_2055_02,1,1,0,not stereotype
d_1798_06,0,0,0,not stereotype
d_1699_03,0,0,0,not stereotype
d_554_03,0,0,0,not stereotype
d_1850_02,0,0,0,not stereotype
d_175_07,0,0,0,not stereotype
d_2039_01,1,1,0,not stereotype
d_2035_02,1,1,0,not stereotype
d_1099_03,0,0,0,not stereotype
d_2097_02,0,0,0,not stereotype
d_1532_01,0,0,0,not stereotype
d_689_01,1,1,1,stereotype
d_2025_02,0,0,0,not stereotype
d_1502_02,0,0,0,not stereotype
d_613_02,1,1,0,not stereotype
d_807_03,0,0,0,not stereotype
d_1557_03,0,0,0,not stereotype
d_2481_04,1,1,1,stereotype
d_1862_01,0,0,0,not stereotype
