id,label,labels,label_pred,pred_stereotype
s_852,0,0,0,not stereotype
s_533,0,0,0,not stereotype
s_278,0,0,0,not stereotype
s_502,0,0,0,not stereotype
s_1361,0,0,1,stereotype
s_4112,1,1,0,not stereotype
s_4124,0,0,0,not stereotype
s_4082,0,0,0,not stereotype
s_391,0,0,0,not stereotype
s_537,0,0,0,not stereotype
s_3963,0,0,0,not stereotype
s_1298,0,0,0,not stereotype
s_649,0,0,0,not stereotype
s_285,0,0,0,not stereotype
s_99,1,1,0,not stereotype
s_4107,0,0,0,not stereotype
s_687,0,0,0,not stereotype
s_1659,1,1,0,not stereotype
s_1390,1,1,1,stereotype
s_3954,0,0,0,not stereotype
s_3255,0,0,0,not stereotype
s_883,0,0,0,not stereotype
s_3799,0,0,0,not stereotype
s_1499,1,1,1,stereotype
s_3724,0,0,0,not stereotype
s_1589,0,0,0,not stereotype
s_961,0,0,0,not stereotype
s_1701,0,0,0,not stereotype
s_1665,0,0,0,not stereotype
s_4150,0,0,0,not stereotype
s_1251,1,1,0,not stereotype
s_1601,1,1,0,not stereotype
s_833,0,0,0,not stereotype
s_4039,0,0,0,not stereotype
s_4228,0,0,0,not stereotype
s_1214,0,0,0,not stereotype
s_944,1,1,1,stereotype
s_1357,1,1,0,not stereotype
s_390,0,0,0,not stereotype
s_375,0,0,0,not stereotype
s_3776,1,1,0,not stereotype
s_1022,1,1,1,stereotype
s_1049,0,0,0,not stereotype
s_530,0,0,0,not stereotype
s_4070,0,0,0,not stereotype
s_4269,0,0,0,not stereotype
s_4258,0,0,0,not stereotype
s_706,0,0,0,not stereotype
s_1487,0,0,0,not stereotype
s_3905,0,0,0,not stereotype
s_21,0,0,0,not stereotype
s_3610,1,1,0,not stereotype
s_1138,1,1,0,not stereotype
s_563,1,1,0,not stereotype
s_247,0,0,0,not stereotype
s_859,0,0,0,not stereotype
s_865,0,0,0,not stereotype
s_499,0,0,0,not stereotype
s_573,0,0,0,not stereotype
s_327,0,0,0,not stereotype
s_1747,0,0,0,not stereotype
s_1604,0,0,0,not stereotype
s_1368,0,0,1,stereotype
s_1705,0,0,0,not stereotype
s_1182,1,1,1,stereotype
s_1160,0,0,1,stereotype
s_1384,1,1,0,not stereotype
s_1711,0,0,0,not stereotype
s_3713,1,1,0,not stereotype
s_1545,1,1,1,stereotype
s_3952,0,0,0,not stereotype
s_637,0,0,0,not stereotype
s_383,0,0,0,not stereotype
s_592,0,0,0,not stereotype
s_1366,0,0,0,not stereotype
s_813,0,0,0,not stereotype
s_3837,0,0,0,not stereotype
s_4029,0,0,0,not stereotype
s_354,0,0,0,not stereotype
s_3869,0,0,0,not stereotype
s_519,0,0,0,not stereotype
s_4079,1,1,0,not stereotype
s_1320,0,0,0,not stereotype
s_269,0,0,0,not stereotype
s_4247,0,0,0,not stereotype
s_1349,1,1,1,stereotype
s_1646,0,0,0,not stereotype
s_642,0,0,0,not stereotype
s_819,0,0,0,not stereotype
s_1547,0,0,0,not stereotype
s_811,0,0,0,not stereotype
s_107,0,0,0,not stereotype
s_3390,0,0,0,not stereotype
s_536,0,0,0,not stereotype
s_251,0,0,0,not stereotype
s_361,0,0,0,not stereotype
s_1143,0,0,0,not stereotype
s_2345,0,0,0,not stereotype
s_3811,0,0,0,not stereotype
s_4177,0,0,0,not stereotype
s_739,0,0,0,not stereotype
s_590,0,0,0,not stereotype
s_1727,0,0,0,not stereotype
s_945,0,0,1,stereotype
s_3791,0,0,0,not stereotype
s_802,0,0,0,not stereotype
s_1415,0,0,0,not stereotype
s_1113,0,0,0,not stereotype
s_1059,0,0,0,not stereotype
s_1344,1,1,1,stereotype
s_132,0,0,0,not stereotype
s_3943,0,0,0,not stereotype
s_990,0,0,0,not stereotype
s_1449,0,0,0,not stereotype
s_267,0,0,0,not stereotype
s_435,0,0,0,not stereotype
s_356,0,0,0,not stereotype
s_1684,1,1,0,not stereotype
s_782,0,0,0,not stereotype
s_1735,0,0,0,not stereotype
s_254,0,0,0,not stereotype
s_382,0,0,0,not stereotype
s_4123,0,0,0,not stereotype
s_3711,1,1,0,not stereotype
s_187,0,0,0,not stereotype
