id,text,label
s_0,"recuperará la ""salud universal"" y obligará a los españoles a prestar asistencia sanitaria a los inmigrantes ilegales",1
s_1,"el psoe recuperará la ""sanidad universal"" y obligará a los españoles a pagar la sanidad a los inmigrantes ilegales url",1
s_1000,para que se le pida que ponga fin al Islam es su país para ver cómo lo está haciendo,1
s_1005,"Tu puta madre, imbécil, la puerta y tu casa, estaciona y no vuelvas, menduguo.",1
s_1008,¡¡Llévalo de vuelta a su país!!,1
s_1009,Vete así.,1
s_1011,"En un país democrático ya estarías fuera, Mantero, ilegal y cara de uva pasa a su país ahora.",1
s_1013,que lo echen a su país ya,1
s_1014,"Esta persona debe ser expulsada inmediatamente del territorio nacional, por haber entrado ilegalmente en España.",1
s_1015,Mira negro vete a la mierda tu país para matar a gente racista q reyes racistas eres tú que quieres matar blancos... pero bien cobras hipócritas euros de mierda,1
s_1018,"Patear hacia atrás y a otra cosa, mariposa",1
s_1019,"en un país democrático y normal, este tipo de personas estarían en la cola del paro por no tener ningún tipo de cualificación profesional",1
s_1020,"lo que no tiene lugar es que analfabetos como este individuo se siente en cualquier plétora de municipios, provincias, autonomías o estado. analfabetos y mediocres no y si por encima vienen de fuera para imponer sus culturas menos!",1
s_1025,"ya que eres ""español"" de papel, ya que eres ""diputado"" y mantero de ""profesional"". Te he hecho una pregunta: ¿qué es lo que realmente sabes hacer???? ¿ustedes que hablan de conciencia y solidaridad práctica esto o por el contrario maldice a los que te dieron a comer, beber, dinero, casa y más",1
s_1027,por un negro que entraba en las casas y no se llevaba nada y lo quiere quitar.,1
s_103,"Y estoy pagando la seguridad social por más de 38 años, si lo sé, soy ilegal.",1
s_1030,"alguien que es acomodado en un país que no es suyo, en el que se le ha dado todo, hablando de racismo. El chiste se cuenta por sí mismo.",1
s_1031,¡No tenía dónde morir y está en la asamblea madrid recogiendo un pastizal!,1
s_1034,deberían echarlo del pais,1
s_1035,"en un país democrático, los ilegales como tú no tienen sitio",1
s_1036,"mira chiquillo !!! vete a tu puto país a poner normas y a decir gilipolleces !!! o qué pasa , que allí no tienes ni voz ni voto o que ??? maldito asqueroso ....",1
s_1038,El que no tiene lugar en España es este pedazo de cbron que entró ilegal y se folla al comerciante honesto patada en el cvlo y regresó a su país,1
s_1039,"pues, si no le gusta lo que ve, de un pais que le ha dado todo lo que tiene, que vuelva de donde vino. es muy simple!",1
s_1042,"y ete quien se cree que es? para decir lo que debemos hacer en españa , a su puto pais",1
s_1043,saquen a ese ilegal de ese país que esperan los españoles decentes,1
s_1044,Vuelve a África...,1
s_1047,"hay que acabar con los reyes magos en españa, y traer otras grandes tradiciones africanas, como la ablación clitorial. eso sí que sería bueno para nuestro país!",1
s_105,"falta...
- cambiar ley electoral para que puedan votar

así la izquierda se perpetua en el poder",1
s_1051,este manda es una mierda. tendrás que recordarle que había un rey mago negro. de todos modos si no te gustan las tradiciones españolas puedes volver a tu pueblo. gracias,1
s_1052,que este elemento esté en el congreso de los diputados.. dice del puto complejo que tenemos en españa. sólo espero que vox meta en un avión a todos estos chuflas y los devuelva a su puñetera casa.,1
s_1057,a mi qué este manterillo falsificador me recuerda a alguien... url,1
s_1058,"Este es enviado a la mierda, y se acabó, para ir a su país a defender sus tradiciones y para dejarnos a otros con la nuestra, es intolerable.",1
