id,text,stereotype_a1
s_2159,"Hombre si estamos mejor que la anterior es para estar contentos....
Que se puede mejorar?
Si
Que otros lo harían mejor?
Tal vez ...
Pero para estos son los que hemos decidido que estén y eldato es bueno
Sin más!!!",0
s_3670,Aquí puedes consultar el documento: URL,0
s_83,"Un partido de gente que está en el día a día. Que paga sus impuestos y se ve relegada en colegios, hospitales, ayudas, etc...",0
s_2392,"¿Quién a dicho esto? Por mi el PP, PSOE y Podemos son la misma mierda, Sólo se diferencian en que el PSOE es el capo de la banda. URL",0
s_4073,"Falso. Se ha demostrado que el chico los atacó sin razón (sin más razón que su flagrante racismo) y los chicos lo redujeron. En el video (el primero) se ve cómo solo lo están inmovilizando.
¿Siempre tenéis que mentir para contestar cualquier cosa?",1
s_1328,Que le den por el culo,0
s_3154,"La corrupción en el PP fue antes de su concepción, en el parto y después de él. Quienes voten PP votarán corrupción. Quienes vayan con ellos en coalición, serán unos amantes de la corrupción. ¡¡¡Menudo problema les va a crear a la Vieja Guardia del PSOE!!!",0
s_2757,"Pero entonces q hacemos con la reforma laboral la derogamos o no?  La coherencia podemita es así...
Los q viven en chalet son casta al día siguiente me compro uno.
La reforma laboral hay q derogarla, al día siguiente con la misma reforma laboral en vigor, hemos bajado el paro 😂",0
s_2069,"Ironic mode: ON
(Que hay que explicarlo todo...)",0
s_1471,Vete a tu país imbécil.,1
s_3885,"Derechos laborales y de extranjería de las mujeres víctimas de violencia de género
URL vía @user",0
s_3995,"19.9 CATALUÑA gestion covid
""Son ejemplares en su fanatismo. Ni covid, ni nada.
Y 9meses un golpe de estado""
--
1. EL Madrid gana la Liga.
2. El Huesca asciende a Primera.
3. Los presos golpistas salen a la calle.
Adivinad quiénes son los seres superiores. URL",0
s_821,"A ver si lo he entendido bien. Según tu, puesto que no aportan nada se les tiene que denegar salud. Tu y los derechos humanos como que no eh? Soy inmigrante legal. Y aún así tuvimos muchos problemas, tanto burocráticos como de sociedad. Y esto señor mío, es racismo y xenofobia.",0
s_1218,¡Madre mía cómo se traga la gente los bulos! ¡Y qué ganas de odiar hay!,0
s_1682,"¿Qué sabemos del foco de coronavirus de la calle Nicolás Salmerón en Santander en una vivienda de 13 inmigrantes?
👉 Proviene ""de cuatro domicilios distintos, sin vínculo entre ellos""
👉 La Consejería de Sanidad niega que sean todos inmigrantes
URL",0
s_2560,"1. Que impuestos rebajará?
2. ???
3. Como los va a mejorar?
4. Osea, incentivará a los ricos q son los q van a la privada. Pobres necesitan ese incrntivo claro.
5. Los chiringuitos de los que Santiago a vivido? 🤣😂🤣😂🤣😂🤣😂.
6. Te lo has comido pasas al 7 directamente",0
s_1764,"Y los mayores de 45? Te los has mirado bien? Esos no entraran tarde, expulsados sin remedio.",0
s_3865,"🇪🇸 ♀️ España otorga la residencia y autorización de trabajo en el país a las mujeres extranjeras que han sido víctimas de la violencia de género.

Énterate de todas las condiciones en este enlace
URL URL",0
s_3800,¿Me puede facilitar la fuente de ese dato?,0
