id,text,label
d_1001_03,"No se trata de racismo, se trata del hecho de que tenemos el derecho a la paz mental.",1
d_1002_01,"A ver yo no soy racista no , pero me gusta el ORDEN así que cada uno a su país.",1
d_1008_01,"Se me ocurre también que, tal vez sería justificado el cerrar ese centro de MENAS y empaquetarlos  sus respectivos países.",1
d_1009_01,"Pablo Iglesias y sus secuaces podían albergar a MENAS, y ellos los apoyan tanto... y tan poco hacen de los estragos que causan a la gente a pie.",1
d_1010_01,"Me pregunto, ¿qué contribuyen estas personas en este país?",1
d_1015_01,"Pues nada señora... ahora vaya usted y le pone la otra mejilla, pero eso sí, no se le olvide llevar el móvil encima o algún objeto de valor, estamos ya tan acomplejados frente a esta ""gente"" que hagan lo que nos hagan nos parece poco, ademas ¿ porque ir aclarando que la denuncia ""no es por racismo "" ?,",1
d_1018_02,"Esos menús violentos, los llevas a casa, dijiste que eran tuyos...",1
d_1018_03,"Los alimentas, los cuidas, y buscas un guardaespaldas, no defraudes tu casa, o algo peor.",1
d_1018_04,Ya ves lo ocurrido a las muchas personas atacadas por ellos...,1
d_1021_03,"pues no estoy de acuerdo que esa gentuza esté en nuestro país mantenida con nuestros impuestos, ayer pillaron a un Nigeriano que estafó en paguitas más de 80.000 eurazos en el País Vasco, claro, si hubiese sido español ni un dura percibía...!!!",1
d_1025_01,"¿Por qué los españoles votamos a partidos que, lejos de tener la intención de atajar por lo sano y con contundencia toda la delincuencia que han traído los extranjeros, pues éste sólo es el enésimo caso más, lo que hacen es mirar para otro lado ante lo que ocurre en nuestras calles, e incluso defender a estos extranjeros y acusar de racistas a los españoles que protestamos?",1
d_1028_01,"VOX no quiere este tipo de inmigrantes, VOX quiere gente trabajadora que respete nuestras leyes y nuestras costumbres, VOX quiere que a estos delincuentes los mantenga su país.",1
d_1030_04,"El no hacer nada, es lo que hace que esta gente se crezca.",1
d_1030_05,No tengáis la menor duda de que en Batán como en muchos otros sitios la situación va a ir a peor porque el encargado de arreglarla se pone del lado del delincuente y se esfuerza en hacernos creer que somos nosotros los culpables insinuando que somos racistas.,1
d_1031_01,"Para no cometer delitos, estos jóvenes necesitan claramente una página, como se ha hecho durante muchos años con otros.",1
d_1031_03,Y con alojamiento gratis.,1
d_1032_01,"No es racismo, sino que van a su país, sí.",1
d_1033_01,Es una pena que no puedas ir a dar un paseo porque tienes miedo.,1
d_1033_02,Estos menores son criminales asesinos de mañana.,1
d_1041_01,"Expulsión ya, o políticos que lo toleran fuera.",1
d_1045_03,"Mientras tanto otro barrio atemorizado por la inmigración ilegal, violenta y con delincuencia asociada.",1
d_1049_01,"Ningún gobierno tiene el derecho de poner a la gente en nuestro país a violar, robar y asesinar a los españoles y todos pagados con el dinero de los impuestos de las víctimas, porque aquí en realidad, lo que está sucediendo es que los primeros políticos que deben estar en la cárcel son los políticos que acogen y protegen a los criminales y son cómplices en sus crímenes, porque los alientan y subvencionan.",1
d_1054_01,"ESTE GOBIERNO NO CUENTA LO QUE NOS CUESTA A LOS ESPAÑOLES DEL DINERO QUE PAGAMOS EN IMPUESTOS, MANTENER A ESTA PANDILLA DE MENAS QUE LA MAYORÍA DE ELLOS VIENEN SABIENDO QUE LES VAMOS A MANTENER A CUERPO DE REY Y CON UNA PAGUITA POR NO HACER NADA BUENO SOLO EL MAL.",1
d_1054_03,¿Se ha interesado Europa en saber algo sobre esta pérdida con el fin de imponer medidas para garantizar que el dinero no se dañe en este pueblo?,1
d_1059_02,"Hay inmigración legal, integrada y muy necesaria.",1
d_1060_01,Y ayer salió la noticia de un nigeriano que ha tomado más de 80.000 euros en paguita que ni siquiera le correspondía hacer otra tarjeta nigeriana.,1
d_1060_02,Y todo eso en 10 años mientras que el.que ha trabajado y se queda en paro tiene un máximo de dos años de cobrarlo y encima mengua con el tiempo.,1
d_1065_01,"La mentalidad progresista de esta señora, que es que la víctima pide perdón a los dos criminales porque ha tenido que describirlos, es increíble, pero insiste en que tal descripción no se debe al racismo y que tampoco los criminales deben trasladarlos a su país de origen y que sus crímenes deben continuar aquí en otros cuellos mientras no sean ella y su querida hija Marta.",1
d_1070_01,Yo sí quiero que se vayan (o los expulsen) a su país con sus padres y con su rey.,1
d_1080_02,"Si no somos capaces de dárselo, obligatoriamente debemos devolverlos a su país.",1
d_1083_01,"Con un buen palo, los conozco muy bien y sé que son cobardes.",1
d_1085_01,"Esto solo se arregla votando , al partido que diga que seran expulsados",1
d_1086_01,"«Hay jóvenes que están con el pegamento todo el día y necesitan tratamiento», prosigue la convaleciente, aterrada por el grado de agresividad sufrido.",1
d_1090_01,"No tenemos porqué justificarnos, esta gente simplemente sobra como sobran los progres que desvían el tema hacia el racismo en lugar de hablar de que esta gente es conflictiva y que la solución que proponen es fallida.",1
d_1091_05,"salen muy caros, y aquí tenemos mucha gente pasándolo mal cuyos padres y abuelos se han deslomado.",1
d_1099_01,"Lo primero, mena o extranjero que cómete un delito, expulsión inmediata.",1
d_1106_02,"2.- Yo no pienso ni pensaría que esos ""pobres chavales"" necesitan comprensión y contención:",1
d_1106_03,Son criminales.,1
d_1107_02,"""No hay menores, ni niños, ni refugiados...",1
d_1107_03,"hay ue ponerse muy serios con este problema  y exigir la expulsión de todos ellos , que las fronteras tomen las medidas necesarias para evitar que entren , que las onegetas   desaparezcan , son las causantes del problema ...",1
d_1107_04,"hace poco , las TV progres emitían un vidio del trato que reciben los menores por no cumplir las normas , de los delitos  las TV no se pronuncian ...",1
