id,text,stereotype_a1,stereotype_a2,stereotype_a3,stereotype,stereotype_soft,implicit_a1,implicit_a2,implicit_a3,implicit,implicit_soft
d_0_01,La solución es desarrollar el pensamiento crítico y escéptico.,0,0,0,0,0.0474,0,0,0,0,0.0474
d_0_02,Hay que enseñar que la magia no existe.,0,0,0,0,0.0474,0,0,0,0,0.0474
d_0_03,Que todos los avances de la humanidad siempre han sido a pesar de las religiones y nunca gracias a ellas.,0,0,0,0,0.0474,0,0,0,0,0.0474
d_0_04,"Enseñar en las escuelas la historia de las religiones, todas.",0,0,0,0,0.0474,0,0,0,0,0.0474
d_0_05,Desde las religiones de la edad de piedra hasta la iglesia de la cienciología.,0,0,0,0,0.0474,0,0,0,0,0.0474
d_0_06,Después de eso da igual lo que intenten adoctrinar los niños en casa.,0,0,0,0,0.0474,0,0,0,0,0.0474
d_0_07,"Pero no es posible prohibir las religiones, por que lo único que consigues es que se vuelvan clandestinas, pero no las eliminas.",0,0,0,0,0.0474,0,0,0,0,0.0474
d_1_01,¿Manipulando?.,0,0,0,0,0.0474,0,0,0,0,0.0474
d_1_02,"Un hecho real, que no me impide NO demonizar a todos los católicos, ni a los del Real Madrid.",0,0,0,0,0.0474,0,0,0,0,0.0474
d_1_03,No se donde ves la manipulación.,0,0,0,0,0.0474,0,0,0,0,0.0474
d_1_04,La realidad es obtusa con las generalizaciones,0,0,0,0,0.0474,0,0,0,0,0.0474
d_2_01,Una procesión de semana santa potente hace que toda la ciudad tenga que adaptarse al recorrido.,0,0,0,0,0.0474,0,0,0,0,0.0474
d_2_02,"Lo mismo que la cabalgata de los reyes magos, conciertos, festivales de música sobre camiones...",0,0,0,0,0.0474,0,0,0,0,0.0474
d_2_03,"Hay monjas de clausura y a algunas las obligan a quedarse, como esas que fueron liberadas en Galicia.",0,0,0,0,0.0474,0,0,0,0,0.0474
d_3_01,"Estoy totalmente de acuerdo, el tema es que eso significa un bofetada en el hocico a Arabia/Catar y eso parece que no es lo que desean nuestros amados lideres y sobre todo sus intereses económicos.",0,0,0,0,0.0474,0,0,0,0,0.0474
d_3_02,"Otra vía fundamental es cortar el flujo de financiación, que no va por los conductos que empleamos los ciudadanos, va por los ""paraísos fiscales"" y eso tampoco interesa a nuestros amados lideres.",0,0,0,0,0.0474,0,0,0,0,0.0474
d_4_01,y mira qué bien les ha salido que tienen unos 30 partidos alternativos que encuentra la manera de saltarse la ley.,0,0,0,0,0.0474,0,0,0,0,0.0474
d_4_02,lo de prohibir alegorías al nazismo es un lavado de cara que ellos mismos saben que es inútil pero no podían más que implementarlo.,0,0,0,0,0.0474,0,0,0,0,0.0474
d_4_03,no sirve para nada,0,0,0,0,0.0474,0,0,0,0,0.0474
d_5_01,"Desgraciadamente, y visto lo visto, al final vamos a tener que aplicar lo que hace los israelíes en sus fronteras.",1,1,1,1,0.9526,1,0,1,1,0.7311
d_5_02,No pasan ni la más mínima.,0,0,0,0,0.0474,0,0,0,0,0.0474
d_6_01,"Suenas exactamente igual que sus lideres, que nunca buscaban su beneficio, si no el de su comunidad y de toda la sociedad.",0,0,0,0,0.0474,0,0,0,0,0.0474
d_7_01,Si el imán es el inductor (directo o indirecto) cosa que casi NO dudo,0,0,0,0,0.0474,0,0,0,0,0.0474
d_8_01,"sencillas sí... inteligentes, no estoy yo muy seguro",0,0,0,0,0.0474,0,0,0,0,0.0474
d_9_01,"Algunas no son todas, y para prevenir eso no hace falta una ""ley mordaza para la religión"", sino usar la Ley actual que prohíbe secuestrar a la gente.",0,0,0,0,0.0474,0,0,0,0,0.0474
d_9_02,"Y con el islam podría ser igual, si hay ciertos elementos de su libro sagrado que contradicen las leyes españolas, que se prohíba su enseñanza.",1,0,0,0,0.2689,0,0,0,0,0.0474
d_10_01,"Claro que sonamos igual, eso es lo que dicen para convencer a toda esa piara de imbéciles, otra cosa es que lo hagan, que durante siglos han demostrado que no, se llama política.",0,0,0,0,0.0474,0,0,0,0,0.0474
d_10_02,"La diferencia es que yo no soy político, soy científico activo y mi labor si aporta de verdad, sin parafernalias, teatro y mentiras.",0,0,0,0,0.0474,0,0,0,0,0.0474
d_11_01,¿Tu crees que deberiamos tolerar alos nazis y supremacistas porque ahora no matan tanto como otros?,0,0,0,0,0.0474,0,0,0,0,0.0474
d_11_02,Dudas por un momento que nada les gustaria mas que matar tanto o mas que DAESH?,0,0,0,0,0.0474,0,0,0,0,0.0474
d_11_03,No trates de hacer que unos parezcan mas buenos frente a los otros.,0,0,0,0,0.0474,0,0,0,0,0.0474
d_11_04,Todos ellos son igual de peligrosos y pernicisosos.,0,0,0,0,0.0474,0,0,0,0,0.0474
d_11_05,Se nutren del odio que siembran y tratan de alcanzar poder e influencia dividiendo y enfrentando.,0,0,0,0,0.0474,0,0,0,0,0.0474
d_11_06,Son Iguales.,0,0,0,0,0.0474,0,0,0,0,0.0474
d_12_01,"Pero vamos a ver, realmente, en serio, alguien se cree que el Imán va por ahí soltando gilipolleces en los sermones?",0,0,0,0,0.0474,0,0,0,0,0.0474
d_12_02,"Estos tíos lo que hacen es mirar, ver quien es más vulnerable y atacar luego en privado para llevarlos a su causa.",1,1,1,1,0.9526,0,1,1,1,0.7311
d_12_03,"Como con las sectas, que te empiezan con el buenrollismo, localizan a los débiles y una vez alejados del grupo atacan.",0,1,0,0,0.2689,0,1,0,0,0.2689
d_12_04,Lo que se debería de controlar es quién manda esos imanes y los designa.,0,0,0,0,0.0474,0,0,0,0,0.0474
d_13_01,"Esto es súper peligroso, imagina millones de personas a las que se les dice que la vida que están sufriendo es la única que hay y que tienen que resolver sus problemas por ellos mismos.",0,1,0,0,0.2689,0,1,0,0,0.2689
d_13_02,Imagina un país como la India dónde hay millones de personas en castas inferiores que no protestan aunque los trates como ratas,1,1,1,1,0.9526,0,1,0,0,0.2689
d_14_01,"No, creo que al radicalismo islámico se le está tolerando mucho más cuando suponen una amenaza mayor.",1,1,1,1,0.9526,0,0,0,0,0.0474
d_15_01,"Como si no hubieran suficientes medios digitales para lavar el cerebro y solamente una mezquita es la única causa posible ""En unos meses"".",0,0,0,0,0.0474,0,0,0,0,0.0474
d_15_02,Esos chicos ya lo tenían claro de antes,0,0,0,0,0.0474,0,0,0,0,0.0474
d_16_01,Eso no tiene que ver con el ateísmo.,0,0,0,0,0.0474,0,0,0,0,0.0474
d_16_02,"Tienes a una iglesia, que declara una cruzada o guerra santa contra los que ganaron las elecciones, en un ambiente de guerra civil, que esperaban.",0,0,0,0,0.0474,0,0,0,0,0.0474
d_17_01,"independientmente de los billetes, muchos te dirán que no es políticamente correcto",0,0,0,0,0.0474,0,0,0,0,0.0474
